Epoch:  0 | train loss: 0.64370 | test loss: 0.80050 | learn rate: 0.00009969
Epoch:  2 | train loss: 0.44198 | test loss: 0.73679 | learn rate: 0.00009906
Epoch:  4 | train loss: 0.30284 | test loss: 0.59826 | learn rate: 0.00009844
Epoch:  6 | train loss: 0.20505 | test loss: 0.42522 | learn rate: 0.00009782
Epoch:  8 | train loss: 0.13612 | test loss: 0.24633 | learn rate: 0.00009719
Epoch:  10 | train loss: 0.08605 | test loss: 0.12265 | learn rate: 0.00009657
Epoch:  12 | train loss: 0.06035 | test loss: 0.06508 | learn rate: 0.00009595
Epoch:  14 | train loss: 0.04598 | test loss: 0.04284 | learn rate: 0.00009533
Epoch:  16 | train loss: 0.03890 | test loss: 0.03591 | learn rate: 0.00009471
Epoch:  18 | train loss: 0.03500 | test loss: 0.02712 | learn rate: 0.00009409
Epoch:  20 | train loss: 0.03914 | test loss: 0.02233 | learn rate: 0.00009347
Epoch:  22 | train loss: 0.02975 | test loss: 0.02482 | learn rate: 0.00009286
Epoch:  24 | train loss: 0.03016 | test loss: 0.02769 | learn rate: 0.00009224
Epoch:  26 | train loss: 0.02946 | test loss: 0.02187 | learn rate: 0.00009162
Epoch:  28 | train loss: 0.02556 | test loss: 0.03200 | learn rate: 0.00009101
Epoch:  30 | train loss: 0.02434 | test loss: 0.02192 | learn rate: 0.00009039
Epoch:  32 | train loss: 0.02590 | test loss: 0.02575 | learn rate: 0.00008978
Epoch:  34 | train loss: 0.02123 | test loss: 0.02358 | learn rate: 0.00008916
Epoch:  36 | train loss: 0.02319 | test loss: 0.02819 | learn rate: 0.00008855
Epoch:  38 | train loss: 0.02224 | test loss: 0.02749 | learn rate: 0.00008794
Epoch:  40 | train loss: 0.02467 | test loss: 0.03037 | learn rate: 0.00008733
Epoch:  42 | train loss: 0.02345 | test loss: 0.02866 | learn rate: 0.00008672
Epoch:  44 | train loss: 0.02167 | test loss: 0.02444 | learn rate: 0.00008611
Epoch:  46 | train loss: 0.02015 | test loss: 0.01571 | learn rate: 0.00008550
Epoch:  48 | train loss: 0.03204 | test loss: 0.01560 | learn rate: 0.00008489
