Epoch:  0 | train loss: 0.60225 | test loss: 0.88411 | learn rate: 0.00009969
Epoch:  2 | train loss: 0.42600 | test loss: 0.75776 | learn rate: 0.00009906
Epoch:  4 | train loss: 0.29409 | test loss: 0.59626 | learn rate: 0.00009844
Epoch:  6 | train loss: 0.20169 | test loss: 0.42336 | learn rate: 0.00009782
Epoch:  8 | train loss: 0.13371 | test loss: 0.24578 | learn rate: 0.00009719
Epoch:  10 | train loss: 0.08538 | test loss: 0.12409 | learn rate: 0.00009657
Epoch:  12 | train loss: 0.05809 | test loss: 0.06927 | learn rate: 0.00009595
Epoch:  14 | train loss: 0.04937 | test loss: 0.04661 | learn rate: 0.00009533
Epoch:  16 | train loss: 0.04612 | test loss: 0.03206 | learn rate: 0.00009471
Epoch:  18 | train loss: 0.03015 | test loss: 0.02916 | learn rate: 0.00009409
Epoch:  20 | train loss: 0.02885 | test loss: 0.02873 | learn rate: 0.00009347
Epoch:  22 | train loss: 0.03160 | test loss: 0.02684 | learn rate: 0.00009286
Epoch:  24 | train loss: 0.03086 | test loss: 0.02481 | learn rate: 0.00009224
Epoch:  26 | train loss: 0.02674 | test loss: 0.02352 | learn rate: 0.00009162
Epoch:  28 | train loss: 0.03329 | test loss: 0.02417 | learn rate: 0.00009101
Epoch:  30 | train loss: 0.03030 | test loss: 0.02307 | learn rate: 0.00009039
Epoch:  32 | train loss: 0.02566 | test loss: 0.02180 | learn rate: 0.00008978
Epoch:  34 | train loss: 0.02725 | test loss: 0.02350 | learn rate: 0.00008916
Epoch:  36 | train loss: 0.02386 | test loss: 0.02243 | learn rate: 0.00008855
Epoch:  38 | train loss: 0.02250 | test loss: 0.02227 | learn rate: 0.00008794
Epoch:  40 | train loss: 0.02460 | test loss: 0.01755 | learn rate: 0.00008733
Epoch:  42 | train loss: 0.02844 | test loss: 0.02090 | learn rate: 0.00008672
Epoch:  44 | train loss: 0.02490 | test loss: 0.02095 | learn rate: 0.00008611
Epoch:  46 | train loss: 0.02754 | test loss: 0.02111 | learn rate: 0.00008550
Epoch:  48 | train loss: 0.02189 | test loss: 0.01764 | learn rate: 0.00008489
Epoch:  50 | train loss: 0.02506 | test loss: 0.01947 | learn rate: 0.00008428
Epoch:  52 | train loss: 0.02162 | test loss: 0.01701 | learn rate: 0.00008368
Epoch:  54 | train loss: 0.02300 | test loss: 0.01956 | learn rate: 0.00008307
Epoch:  56 | train loss: 0.02485 | test loss: 0.01875 | learn rate: 0.00008246
Epoch:  58 | train loss: 0.02043 | test loss: 0.01643 | learn rate: 0.00008186
Epoch:  60 | train loss: 0.02601 | test loss: 0.01886 | learn rate: 0.00008125
Epoch:  62 | train loss: 0.02475 | test loss: 0.01717 | learn rate: 0.00008065
Epoch:  64 | train loss: 0.02487 | test loss: 0.01726 | learn rate: 0.00008005
Epoch:  66 | train loss: 0.01918 | test loss: 0.01959 | learn rate: 0.00007945
Epoch:  68 | train loss: 0.02481 | test loss: 0.02001 | learn rate: 0.00007885
Epoch:  70 | train loss: 0.01855 | test loss: 0.01360 | learn rate: 0.00007824
Epoch:  72 | train loss: 0.02301 | test loss: 0.01609 | learn rate: 0.00007765
Epoch:  74 | train loss: 0.02037 | test loss: 0.01488 | learn rate: 0.00007705
Epoch:  76 | train loss: 0.02735 | test loss: 0.01714 | learn rate: 0.00007645
Epoch:  78 | train loss: 0.02418 | test loss: 0.01616 | learn rate: 0.00007585
Epoch:  80 | train loss: 0.02001 | test loss: 0.01885 | learn rate: 0.00007525
Epoch:  82 | train loss: 0.01987 | test loss: 0.01517 | learn rate: 0.00007466
Epoch:  84 | train loss: 0.02383 | test loss: 0.01494 | learn rate: 0.00007406
Epoch:  86 | train loss: 0.01953 | test loss: 0.01701 | learn rate: 0.00007347
Epoch:  88 | train loss: 0.02070 | test loss: 0.01746 | learn rate: 0.00007288
Epoch:  90 | train loss: 0.01752 | test loss: 0.01588 | learn rate: 0.00007228
Epoch:  92 | train loss: 0.02032 | test loss: 0.01523 | learn rate: 0.00007169
Epoch:  94 | train loss: 0.01646 | test loss: 0.01474 | learn rate: 0.00007110
Epoch:  96 | train loss: 0.01852 | test loss: 0.01417 | learn rate: 0.00007051
Epoch:  98 | train loss: 0.01803 | test loss: 0.01383 | learn rate: 0.00006992
Epoch:  100 | train loss: 0.01814 | test loss: 0.01397 | learn rate: 0.00006933
Epoch:  102 | train loss: 0.01731 | test loss: 0.01461 | learn rate: 0.00006875
Epoch:  104 | train loss: 0.01957 | test loss: 0.01662 | learn rate: 0.00006816
Epoch:  106 | train loss: 0.02077 | test loss: 0.01451 | learn rate: 0.00006757
Epoch:  108 | train loss: 0.02156 | test loss: 0.01631 | learn rate: 0.00006699
Epoch:  110 | train loss: 0.01981 | test loss: 0.01211 | learn rate: 0.00006640
Epoch:  112 | train loss: 0.01833 | test loss: 0.01633 | learn rate: 0.00006582
Epoch:  114 | train loss: 0.02336 | test loss: 0.01444 | learn rate: 0.00006524
Epoch:  116 | train loss: 0.01941 | test loss: 0.01620 | learn rate: 0.00006466
Epoch:  118 | train loss: 0.01854 | test loss: 0.01357 | learn rate: 0.00006408
Epoch:  120 | train loss: 0.01671 | test loss: 0.01422 | learn rate: 0.00006350
Epoch:  122 | train loss: 0.01865 | test loss: 0.01811 | learn rate: 0.00006292
Epoch:  124 | train loss: 0.01642 | test loss: 0.01337 | learn rate: 0.00006234
Epoch:  126 | train loss: 0.01781 | test loss: 0.01463 | learn rate: 0.00006176
Epoch:  128 | train loss: 0.01736 | test loss: 0.01736 | learn rate: 0.00006119
Epoch:  130 | train loss: 0.01851 | test loss: 0.01510 | learn rate: 0.00006061
Epoch:  132 | train loss: 0.02096 | test loss: 0.01274 | learn rate: 0.00006004
Epoch:  134 | train loss: 0.02069 | test loss: 0.01423 | learn rate: 0.00005946
Epoch:  136 | train loss: 0.01864 | test loss: 0.01451 | learn rate: 0.00005889
Epoch:  138 | train loss: 0.01662 | test loss: 0.01244 | learn rate: 0.00005832
Epoch:  140 | train loss: 0.01617 | test loss: 0.01544 | learn rate: 0.00005775
Epoch:  142 | train loss: 0.02264 | test loss: 0.01371 | learn rate: 0.00005718
Epoch:  144 | train loss: 0.01989 | test loss: 0.01366 | learn rate: 0.00005661
Epoch:  146 | train loss: 0.01758 | test loss: 0.01298 | learn rate: 0.00005604
Epoch:  148 | train loss: 0.01506 | test loss: 0.01323 | learn rate: 0.00005547
Epoch:  150 | train loss: 0.01574 | test loss: 0.01325 | learn rate: 0.00005491
Epoch:  152 | train loss: 0.02042 | test loss: 0.01404 | learn rate: 0.00005434
Epoch:  154 | train loss: 0.01506 | test loss: 0.01563 | learn rate: 0.00005378
